,Player,First year,Last year,Position,Height,Weight,Birth Date,College,id
1176,Julius Erving,1972,1987,F-G,6-7,210,"February 22, 1950",University of Massachusetts Amherst,ervinju01
1177,Evan Eschmeyer,2000,2003,C,6-11,255,"May 30, 1975",Northwestern University,eschmev01
1178,Jack Eskridge,1949,1949,C-F,6-5,200,"January 21, 1924",University of Kansas,eskrija01
1179,Vincenzo Esposito,1996,1996,G,6-3,198,"January 3, 1969",,esposvi01
1180,Billy Evans,1970,1970,G,6-0,170,"March 3, 1947",Boston College,evansbi01
1181,Bob Evans,1950,1950,G,6-2,175,"May 31, 1925",Butler University,evansbo01
1182,Brian Evans,1997,1999,F,6-8,220,"September 13, 1973",Indiana University,evansbr01
1183,Earl Evans,1980,1980,F,6-8,202,"November 11, 1955","University of Nevada, Las Vegas",evansea01
1184,Jawun Evans,2018,2018,G,6-0,185,"July 26, 1996",Oklahoma State University,evansja01
1185,Jeremy Evans,2011,2016,F,6-9,200,"October 24, 1987",Western Kentucky University,evansje01
1186,Maurice Evans,2002,2012,G,6-5,220,"November 8, 1978",University of Texas at Austin,evansma01
1187,Mike Evans,1980,1988,G,6-1,170,"April 19, 1955",Kansas State University,evansmi01
1188,Reggie Evans,2003,2015,F,6-8,245,"May 18, 1980",University of Iowa,evansre01
1189,Tyreke Evans,2010,2018,G-F,6-6,220,"September 19, 1989",University of Memphis,evansty01
1190,Daniel Ewing,2006,2007,G,6-3,185,"March 26, 1983",Duke University,ewingda01
1191,Patrick Ewing,1986,2002,C-F,7-0,240,"August 5, 1962",Georgetown University,ewingpa01
1192,Patrick Ewing,2011,2011,F,6-8,235,"May 20, 1984",Georgetown University,ewingpa02
1193,Dante Exum,2015,2017,G,6-6,190,"July 13, 1995",,exumda01
1194,Christian Eyenga,2011,2012,F,6-5,210,"June 22, 1989",,eyengch01
1195,Festus Ezeli,2013,2016,C,6-11,255,"October 21, 1989",Vanderbilt University,ezelife01
1196,Johnny Ezersky,1948,1950,F-G,6-3,175,"March 21, 1922",University of Rhode Island,ezersjo01
1197,Joe Fabel,1947,1947,F-G,6-1,190,"September 4, 1913",University of Pittsburgh,fabeljo01
1198,John Fairchild,1966,1970,F,6-8,205,"April 28, 1943",Brigham Young University,faircjo01
1199,Phil Farbman,1949,1949,F,6-1,185,"April 3, 1924",City College of New York,farbmph01
1200,Kenneth Faried,2012,2018,F,6-8,228,"November 19, 1989",Morehead State University,farieke01
1201,Dick Farley,1955,1959,G-F,6-4,190,"April 13, 1932",Indiana University,farledi01
1202,Jordan Farmar,2007,2017,G,6-2,180,"November 30, 1986","University of California, Los Angeles",farmajo01
1203,Desmon Farmer,2007,2009,G,6-5,220,"October 7, 1981",University of Southern California,farmede01
1204,Jim Farmer,1988,1994,G,6-4,190,"September 23, 1964",University of Alabama,farmeji01
1205,Mike Farmer,1959,1966,F,6-7,210,"September 26, 1936",University of San Francisco,farmemi01
1206,Tony Farmer,1998,2000,F,6-9,244,"January 3, 1970",University of Nebraska,farmeto01
1207,Bob Faught,1947,1947,F,6-5,185,"September 2, 1921",University of Notre Dame,faughbo01
1208,Vitor Faverani,2014,2014,C,6-11,260,"May 5, 1988",,favervi01
1209,Derrick Favors,2011,2018,F-C,6-10,265,"July 15, 1991",Georgia Institute of Technology,favorde01
1210,Nick Fazekas,2008,2008,F,6-11,235,"June 17, 1985","University of Nevada, Reno",fazekni01
1211,Dave Fedor,1963,1963,F,6-6,190,"December 10, 1940",Florida State University,fedorda01
1212,Bob Feerick,1947,1950,F-G,6-3,190,"January 2, 1920",Santa Clara University,feeribo01
1213,Butch Feher,1977,1977,G,6-4,185,"May 19, 1954",Vanderbilt University,feherbu01
1214,Jamie Feick,1997,2001,C,6-9,255,"July 3, 1974",Michigan State University,feickja01
1215,Ron Feiereisel,1956,1956,G,6-3,185,"August 6, 1931",DePaul University,feierro01
1216,George Feigenbaum,1950,1953,G,6-1,185,"July 2, 1929",University of Kentucky,feigege01
1217,Dave Feitl,1987,1992,C,6-11,235,"June 8, 1962",University of Texas at El Paso,feitlda01
1218,Kay Felder,2017,2018,G,5-9,176,"March 29, 1995",Oakland University,feldeka01
1219,Cristiano Felicio,2016,2018,F-C,6-10,275,"July 7, 1992",,feliccr01
1220,Carrick Felix,2014,2014,G,6-6,201,"August 17, 1990",Arizona State University,felixca01
1221,Noel Felix,2006,2006,F,6-9,225,"October 4, 1981","California State University, Fresno",felixno01
1222,Ray Felix,1954,1962,C,6-11,220,"December 10, 1930",Long Island University,felixra01
1223,Raymond Felton,2006,2018,G,6-1,205,"June 26, 1984",University of North Carolina,feltora01
1224,Jake Fendley,1952,1953,G,6-0,180,"June 12, 1929",Northwestern University,fendlja01
1225,Warren Fenley,1947,1947,F,6-3,190,"February 8, 1922",Manhattan College,fenlewa01
1226,Desmond Ferguson,2004,2004,G-F,6-7,203,"July 22, 1977",University of Detroit Mercy,fergude01
1227,Terrance Ferguson,2018,2018,G-F,6-7,184,"May 17, 1998",,fergute01
1228,Rudy Fernandez,2009,2012,G,6-6,185,"April 4, 1985",,fernaru01
1229,Eric Fernsten,1976,1984,C-F,6-10,205,"November 1, 1953",University of San Francisco,fernser01
1230,Al Ferrari,1956,1963,G-F,6-4,190,"July 6, 1933",Michigan State University,ferraal01
1231,Rolando Ferreira,1989,1989,C,7-1,240,"May 24, 1964",University of Houston,ferrero01
1232,Duane Ferrell,1989,1999,F-G,6-7,209,"February 28, 1965",Georgia Institute of Technology,ferredu01
1233,Yogi Ferrell,2017,2018,G,6-0,180,"May 9, 1993",Indiana University,ferreyo01
1234,Arnie Ferrin,1949,1951,F-G,6-2,180,"July 29, 1925",University of Utah,ferriar01
1235,Bob Ferry,1960,1969,C-F,6-8,230,"May 31, 1937",Saint Louis University,ferrybo01
1236,Danny Ferry,1991,2003,F,6-10,230,"October 17, 1966",Duke University,ferryda01
1237,Kyrylo Fesenko,2008,2012,C,7-1,288,"December 24, 1986",,fesenky01
1238,Bobby Fields,1972,1972,G,6-3,175,"October 20, 1949",La Salle University,fieldbo01
1239,Kenny Fields,1985,1988,F-G,6-5,220,"February 9, 1962","University of California, Los Angeles",fieldke01
1240,Landry Fields,2011,2015,F,6-7,210,"June 27, 1988",Stanford University,fieldla01
1241,Ron Filipek,1968,1968,F,6-5,205,"February 5, 1944",Tennessee Technological University,filipro01
1242,Greg Fillmore,1971,1972,C,7-1,240,"March 7, 1947",Cheyney University of Pennsylvania,fillmgr01
1243,Larry Finch,1974,1975,G,6-2,185,"February 16, 1951",University of Memphis,finchla01
1244,Hank Finkel,1967,1975,C,7-0,240,"April 20, 1942",University of Dayton,finkeha01
1245,Michael Finley,1996,2010,G-F,6-7,215,"March 6, 1973",University of Wisconsin,finlemi01
1246,Danny Finn,1953,1955,G,6-1,185,"May 29, 1928",St. John's University,finnda01
1247,Dorian Finney-Smith,2017,2018,F,6-8,220,"May 4, 1993",University of Florida,finnedo01
1248,Matt Fish,1995,1997,C,6-11,235,"November 18, 1969",University of North Carolina at Wilmington,fishma01
1249,Derek Fisher,1997,2014,G,6-1,200,"August 9, 1974",University of Arkansas at Little Rock,fishede01
1250,Richard Fisher,1972,1972,F,6-5,215,"October 27, 1948",Colorado State University,fisheri01
1251,Gerald Fitch,2006,2006,G,6-3,188,"August 12, 1982",University of Kentucky,fitchge01
1252,Bob Fitzgerald,1947,1949,F-C,6-5,190,"March 14, 1923",Seton Hall University,fitzgbo01
1253,Dick Fitzgerald,1947,1948,F,6-2,175,"November 18, 1920",Fordham University,fitzgdi01
1254,Marcus Fizer,2001,2006,F,6-9,262,"August 10, 1978",Iowa State University,fizerma01
1255,Jerry Fleishman,1947,1953,G-F,6-2,190,"February 14, 1922",New York University,fleisje01
1256,Al Fleming,1978,1978,F,6-7,215,"April 5, 1954",University of Arizona,flemial01
1257,Ed Fleming,1956,1960,G-F,6-3,189,"July 25, 1933",Niagara University,flemied01
1258,Vern Fleming,1985,1996,G,6-5,185,"February 4, 1962",University of Georgia,flemive01
1259,Luis Flores,2005,2005,G,6-2,200,"April 11, 1981",Manhattan College,florelu01
1260,Bruce Flowers,1983,1983,F,6-8,225,"June 13, 1957",University of Notre Dame,flowebr01
1261,Sleepy Floyd,1983,1995,G,6-3,170,"March 6, 1960",Georgetown University,floydsl01
1262,Jonny Flynn,2010,2012,G,6-0,185,"February 6, 1989",Syracuse University,flynnjo01
1263,Mike Flynn,1976,1978,G,6-2,180,"July 31, 1953",University of Kentucky,flynnmi01
1264,Larry Fogle,1976,1976,G,6-5,205,"March 19, 1953",Canisius College,foglela01
1265,Jack Foley,1963,1963,F,6-3,170,"April 19, 1939",College of the Holy Cross,foleyja01
1266,Isaac Fontaine,2002,2002,G,6-4,210,"April 16, 1975",Washington State University,fontais01
1267,Levi Fontaine,1971,1971,G,6-4,190,"November 1, 1948",University of Maryland Eastern Shore,fontale01
1268,Jeff Foote,2012,2012,C,7-0,265,"July 14, 1987",Cornell University,footeje01
1269,Bryn Forbes,2017,2018,G,6-3,190,"July 23, 1993",Michigan State University,forbebr01
1270,Gary Forbes,2011,2012,F,6-7,220,"February 25, 1985",University of Massachusetts Amherst,forbega01
1271,Alphonso Ford,1994,1995,G,6-1,190,"October 31, 1971",Mississippi Valley State University,fordal01
1272,Alton Ford,2002,2004,F,6-9,275,"May 29, 1981",University of Houston,fordal02
1273,Bob Ford,1973,1973,F,6-7,228,"January 26, 1950",Purdue University,fordbo01
1274,Chris Ford,1973,1982,G-F,6-5,190,"January 11, 1949",Villanova University,fordch01
1275,Don Ford,1976,1982,F,6-9,215,"December 31, 1952","University of California, Santa Barbara",forddo01
1276,Jake Ford,1971,1972,G,6-3,180,"April 29, 1946",University of Maryland Eastern Shore,fordja01
1277,Phil Ford,1979,1985,G,6-2,175,"February 9, 1956",University of North Carolina,fordph01
1278,Sharrod Ford,2006,2006,F,6-9,225,"January 9, 1982",Clemson University,fordsh02
1279,Sherell Ford,1996,1996,F,6-7,210,"August 26, 1972",University of Illinois at Chicago,fordsh01
1280,T.J. Ford,2004,2012,G,6-0,165,"March 24, 1983",University of Texas at Austin,fordtj01
1281,Donnie Forman,1949,1949,G,5-10,175,"January 17, 1926",New York University,formado01
1282,Bayard Forrest,1978,1979,C,6-10,235,"July 8, 1954",Grand Canyon University,forreba01
1283,Joseph Forte,2002,2003,G,6-4,194,"March 23, 1981",University of North Carolina,fortejo01
1284,Courtney Fortson,2012,2012,G,5-11,185,"May 23, 1988",University of Arkansas,fortsco01
1285,Danny Fortson,1998,2007,F,6-7,260,"March 27, 1976",University of Cincinnati,fortsda01
1286,Fred Foster,1969,1977,F,6-5,210,"March 18, 1946",Miami University,fostefr01
1287,Greg Foster,1991,2003,F-C,6-11,240,"October 3, 1968",University of Texas at El Paso,fostegr01
1288,Jeff Foster,2000,2012,F-C,6-11,236,"January 16, 1977",Texas State University,fosteje01
1289,Jimmy Foster,1975,1976,G,6-1,175,"December 16, 1951",University of Connecticut,fosteja01
1290,Rod Foster,1984,1986,G,6-1,160,"October 10, 1960","University of California, Los Angeles",fostero01
1291,Antonis Fotsis,2002,2002,F,6-10,219,"April 1, 1981",,fotsian01
1292,Evan Fournier,2013,2018,G-F,6-7,205,"October 29, 1992",,fournev01
1293,Larry Foust,1951,1962,C-F,6-9,215,"June 24, 1928",La Salle University,foustla01
1294,Calvin Fowler,1970,1970,G,6-0,175,"February 11, 1940",Saint Francis University,fowleca01
1295,Jerry Fowler,1952,1952,C,6-8,230,"June 20, 1927",University of Missouri,fowleje01
1296,Tremaine Fowlkes,2002,2005,F,6-8,220,"April 11, 1976","California State University, Fresno",fowlktr01
1297,De'Aaron Fox,2018,2018,G,6-3,170,"December 20, 1997",University of Kentucky,foxde01
1298,Harold Fox,1973,1973,G,6-2,175,"August 29, 1949",Jacksonville University,foxha01
1299,Jim Fox,1968,1977,C-F,6-10,230,"April 7, 1943",University of South Carolina,foxji01
1300,Rick Fox,1992,2004,F-G,6-7,230,"July 24, 1969",University of North Carolina,foxri01
1301,Randy Foye,2007,2017,G,6-4,213,"September 24, 1983",Villanova University,foyera01
1302,Adonal Foyle,1998,2009,C,6-10,250,"March 9, 1975",Colgate University,foylead01
1303,Richie Frahm,2004,2008,G,6-5,210,"August 14, 1977",Gonzaga University,frahmri01
1304,Steve Francis,2000,2008,G,6-3,195,"February 21, 1977",University of Maryland,francst01
1305,Tellis Frank,1988,1994,F-C,6-10,225,"April 26, 1965",Western Kentucky University,frankte01
1306,Nat Frankel,1947,1947,F-G,6-0,195,"November 3, 1913",Brooklyn College,frankna01
1307,Jamaal Franklin,2014,2015,G,6-5,191,"July 21, 1991",San Diego State University,frankja01
1308,William Franklin,1973,1976,F,6-7,220,"October 19, 1949",Purdue University,frankwi01
1309,Ronald Franz,1968,1973,F,6-7,205,"October 20, 1945",University of Kansas,franzro01
1310,Tim Frazier,2015,2018,G,6-1,170,"November 1, 1990",Pennsylvania State University,fraziti01
1311,Walt Frazier,1968,1980,G,6-4,200,"March 29, 1945",Southern Illinois University,fraziwa01
1312,Will Frazier,1966,1969,C-F,6-7,210,"August 24, 1942",Grambling State University,fraziwi01
1313,Anthony Frederick,1989,1992,F,6-7,205,"December 7, 1964",Pepperdine University,fredean01
1314,Jimmer Fredette,2012,2016,G,6-2,195,"February 25, 1989",Brigham Young University,fredeji01
1315,World B. Free,1976,1988,G,6-2,185,"December 9, 1953",Guilford College,freewo01
1316,Joel Freeland,2013,2015,F-C,6-10,250,"February 7, 1987",,freeljo01
1317,Donnie Freeman,1968,1976,G,6-3,185,"July 18, 1944",University of Illinois at Urbana-Champaign,freemdo01
1318,Gary Freeman,1971,1971,F,6-9,210,"July 25, 1948",Oregon State University,freemga01
1319,Rod Freeman,1974,1974,F,6-7,225,"November 5, 1950",Vanderbilt University,freemro01
1320,Matt Freije,2005,2007,F,6-10,240,"October 2, 1981",Vanderbilt University,freijma01
1321,Frido Frey,1947,1947,F,6-2,195,"October 26, 1921",Long Island University,freyfr01
1322,Larry Friend,1958,1958,G-F,6-4,185,"April 14, 1935",University of California,frienla01
1323,Pat Frink,1969,1969,G,6-4,195,"February 18, 1945",University of Colorado,frinkpa01
1324,Jim Fritsche,1954,1955,F-C,6-8,210,"December 10, 1931",Hamline University,fritsji01
1325,Channing Frye,2006,2018,C-F,6-11,255,"May 17, 1983",University of Arizona,fryech01
1326,Bernie Fryer,1974,1975,G,6-3,185,"December 25, 1949",Brigham Young University,fryerbe01
1327,Frank Fucarino,1947,1947,F,6-2,175,"July 24, 1920",Long Island University,fucarfr01
1328,Herm Fuetsch,1948,1948,G,6-0,170,"July 6, 1918",,fuetshe01
1329,Joe Fulks,1947,1954,F-C,6-5,190,"October 26, 1921",Murray State University,fulksjo01
1330,Carl Fuller,1971,1972,C,6-9,225,"January 10, 1946",Bethune-Cookman College,fulleca01
1331,Hiram Fuller,2004,2004,F,6-9,240,"May 15, 1981","California State University, Fresno",fullehi01
1332,Todd Fuller,1997,2001,C,6-11,255,"July 25, 1974",North Carolina State University,fulleto02
1333,Tony Fuller,1981,1981,G,6-4,180,"September 4, 1958",Pepperdine University,fulleto01
1334,Markelle Fultz,2018,2018,G,6-4,195,"May 29, 1998",University of Washington,fultzma01
1335,Lawrence Funderburke,1998,2005,F,6-9,230,"December 15, 1970",Ohio State University,fundela01
1336,Terry Furlow,1977,1980,G-F,6-4,190,"October 18, 1954",Michigan State University,furlote01
1337,Bill Gabor,1950,1955,G-F,5-11,170,"May 13, 1922",Syracuse University,gaborbi01
1338,Dan Gadzuric,2003,2012,C,6-11,240,"February 2, 1978","University of California, Los Angeles",gadzuda01
1339,Deng Gai,2006,2006,F,6-9,250,"March 22, 1982",Fairfield University,gaide01
1340,Elmer Gainer,1948,1950,F-C,6-6,195,"November 22, 1918",DePaul University,gaineel01
1341,Bill Gaines,1969,1969,G,6-4,185,"March 10, 1946",East Texas State University,gainebi01
1342,Corey Gaines,1989,1995,G,6-3,195,"June 1, 1965",Loyola Marymount University,gaineco01
1343,David Gaines,1968,1968,G,6-1,170,"February 27, 1942",LeMoyne-Owen College,gaineda01
1344,Reece Gaines,2004,2006,G,6-6,205,"January 7, 1981",University of Louisville,gainere01
1345,Sundiata Gaines,2010,2012,G,6-1,185,"April 18, 1986",University of Georgia,gainesu01
1346,Mike Gale,1972,1982,G,6-4,185,"July 18, 1950",Elizabeth City State University,galemi01
1347,Chad Gallagher,1994,1994,C,6-10,255,"May 30, 1969",Creighton University,gallach01
1348,Harry Gallatin,1949,1958,F-C,6-6,210,"April 26, 1927",Truman State University,gallaha01
1349,Danilo Gallinari,2009,2018,F,6-10,225,"August 8, 1988",,gallida01
1350,Langston Galloway,2015,2018,G,6-2,200,"December 9, 1991",Saint Joseph's University,gallola01
1351,Dave Gambee,1959,1970,F,6-6,215,"April 16, 1937",Oregon State University,gambeda01
1352,Kevin Gamble,1988,1997,F-G,6-5,210,"November 13, 1965",University of Iowa,gamblke01
1353,Bob Gantt,1947,1947,F-C,6-4,205,"June 22, 1922",Duke University,ganttbo01
1354,Jorge Garbajosa,2007,2008,F,6-9,245,"December 19, 1977",,garbajo01
1355,Ruben Garces,2001,2001,F,6-9,245,"October 17, 1973",Providence College,garceru01
1356,Alex Garcia,2004,2005,G,6-3,220,"March 4, 1980",,garcial01
1357,Francisco Garcia,2006,2015,F-G,6-7,195,"December 31, 1981",University of Louisville,garcifr01
1358,Chuck Gardner,1968,1968,F,6-8,205,"September 30, 1944",University of Colorado,gardnch01
1359,Earl Gardner,1949,1949,F,6-3,195,"September 18, 1923",DePauw University,gardnea01
1360,Kenneth Gardner,1976,1976,F,6-5,205,"September 27, 1949",University of Utah,gardnke01
1361,Thomas Gardner,2008,2009,G,6-5,225,"February 8, 1985",University of Missouri,gardnth01
1362,Vern Gardner,1950,1952,F-C,6-5,200,"May 14, 1925",University of Utah,gardnve01
1363,Jack Garfinkel,1947,1949,G,6-0,190,"June 13, 1918",St. John's University,garfija01
1364,Patricio Garino,2017,2017,G-F,6-6,210,"May 17, 1993",George Washington University,garinpa01
1365,Gary Garland,1980,1980,G,6-4,180,"October 12, 1957",DePaul University,garlaga01
1366,Winston Garland,1988,1995,G,6-2,170,"December 19, 1964",Missouri State University,garlawi01
1367,Dick Garmaker,1956,1961,G-F,6-3,200,"October 29, 1932",University of Minnesota,garmadi01
1368,Bill Garner,1968,1968,C,6-10,220,"June 17, 1940",University of Portland,garnebi01
1369,Chris Garner,1998,2001,G,5-10,156,"February 2, 1975",University of Memphis,garnech01
1370,Bill Garnett,1983,1986,F,6-9,225,"April 22, 1960",University of Wyoming,garnebi02
1371,Kevin Garnett,1996,2016,F-C,6-11,240,"May 19, 1976",,garneke01
1372,Marlon Garnett,1999,1999,G,6-2,186,"July 3, 1975",Santa Clara University,garnema01
1373,Calvin Garrett,1981,1984,F,6-7,190,"July 11, 1956",Oral Roberts University,garreca01
1374,Dean Garrett,1997,2002,C,6-10,225,"November 27, 1966",Indiana University,garrede01
1375,Diante Garrett,2013,2014,G,6-4,190,"November 3, 1988",Iowa State University,garredi02
1376,Dick Garrett,1970,1974,G,6-3,185,"January 31, 1947",Southern Illinois University,garredi01
1377,Rowland Garrett,1973,1977,F,6-6,210,"July 16, 1950",Florida State University,garrero01
1378,Tom Garrick,1989,1992,G,6-2,185,"July 7, 1966",University of Rhode Island,garrito01
1379,John Garris,1984,1984,F,6-8,205,"June 6, 1959",Boston College,garrijo01
1380,Kiwane Garris,1998,2000,G,6-2,183,"September 24, 1974",University of Illinois at Urbana-Champaign,garriki01
1381,Pat Garrity,1999,2008,F,6-9,238,"August 23, 1976",University of Notre Dame,garripa01
1382,Jim Garvin,1974,1974,F,6-7,200,"February 5, 1950",Boston University,garviji01
1383,Marc Gasol,2009,2018,C,7-1,255,"January 29, 1985",,gasolma01
1384,Pau Gasol,2002,2018,F-C,7-0,250,"July 6, 1980",,gasolpa01
1385,Frank Gates,1950,1950,G,6-0,160,"April 12, 1920",Sam Houston State University,gatesfr01
1386,Chris Gatling,1992,2002,F-C,6-10,220,"September 3, 1967",Old Dominion University,gatlich01
1387,Kenny Gattison,1987,1996,F-C,6-8,225,"May 23, 1964",Old Dominion University,gattike01
1388,Rudy Gay,2007,2018,F,6-8,230,"August 17, 1986",University of Connecticut,gayru01
1389,Ed Gayda,1951,1951,G-F,6-4,210,"May 11, 1927",Washington State University,gaydaed01
1390,Andrew Gaze,1994,1999,G,6-7,205,"July 24, 1965",Seton Hall University,gazean01
1391,Michael Gbinije,2017,2017,G,6-7,200,"June 5, 1992",Syracuse University,gbinimi01
1392,Reggie Geary,1997,1998,G,6-2,187,"August 31, 1973",University of Arizona,gearyre01
1393,Alonzo Gee,2010,2017,G,6-6,225,"May 29, 1987",University of Alabama,geeal01
1394,Matt Geiger,1993,2002,C,7-0,243,"September 10, 1969",Georgia Institute of Technology,geigema01
1395,Mickael Gelabale,2007,2013,F,6-7,215,"May 22, 1983",,gelabmi01
1396,Devean George,2000,2010,G-F,6-8,220,"August 29, 1977",Augsburg College,georgde01
1397,Jack George,1954,1961,G,6-2,190,"November 13, 1928",La Salle University,georgja01
1398,Paul George,2011,2018,F,6-9,220,"May 2, 1990","California State University, Fresno",georgpa01
1399,Tate George,1991,1995,G,6-5,190,"May 29, 1968",University of Connecticut,georgta01
1400,Marcus Georges-Hunt,2017,2018,G,6-5,216,"March 28, 1994",Georgia Institute of Technology,georgma01
1401,Gus Gerard,1975,1981,F-G,6-8,200,"July 27, 1953",University of Virginia,gerargu01
1402,Derrick Gervin,1990,1991,F,6-8,200,"March 28, 1963",University of Texas at San Antonio,gervide01
1403,George Gervin,1973,1986,G-F,6-7,180,"April 27, 1952",Eastern Michigan University,gervige01
1404,Gorham Getchell,1947,1947,C,6-4,205,"August 14, 1920",Temple University,getchgo01
1405,John Gianelli,1973,1980,C-F,6-10,220,"June 10, 1950",University of the Pacific,gianejo01
1406,Dick Gibbs,1972,1976,F-G,6-5,210,"December 20, 1948",University of Texas at El Paso,gibbsdi01
1407,Daniel Gibson,2007,2013,G,6-2,190,"February 27, 1986",University of Texas at Austin,gibsoda01
1408,Dee Gibson,1950,1950,F-G,5-11,175,"August 25, 1923",Western Kentucky University,gibsode01
1409,Hoot Gibson,1950,1950,F-C,6-5,198,"December 5, 1921",Creighton University,gibsoho01
1410,Jonathan Gibson,2017,2017,G,6-2,185,"November 8, 1987",New Mexico State University,gibsojo01
1411,Mel Gibson,1964,1964,G,6-3,180,"December 30, 1940",Western Carolina University,gibsome01
1412,Mike Gibson,1984,1986,F,6-10,205,"October 27, 1960",University of South Carolina Upstate,gibsomi01
1413,Taj Gibson,2010,2018,F,6-9,225,"June 24, 1985",University of Southern California,gibsota01
1414,J.R. Giddens,2009,2010,G,6-5,215,"February 13, 1985",University of New Mexico,giddejr01
1415,Trey Gilder,2010,2010,F,6-9,185,"January 24, 1985",Northwestern State University,gildetr01
1416,Eddie Gill,2001,2009,G,6-0,190,"August 16, 1978",Weber State University,gilled01
1417,Kendall Gill,1991,2005,G,6-5,195,"May 25, 1968",University of Illinois at Urbana-Champaign,gillke01
1418,Ben Gillery,1989,1989,C,7-0,235,"September 19, 1965",Georgetown University,gillebe01
1419,Jack Gillespie,1970,1970,F,6-6,215,"October 1, 1947",Montana State University,gilleja01
1420,Gene Gillette,1947,1947,F,6-2,205,,Saint Mary's College of California,gillege01
1421,Armen Gilliam,1988,2000,F-C,6-9,230,"May 28, 1964","University of Nevada, Las Vegas",gilliar01
1422,Herm Gilliam,1970,1977,G-F,6-3,190,"May 5, 1946",Purdue University,gillihe01
1423,Artis Gilmore,1972,1988,C,7-2,240,"September 21, 1949",Jacksonville University,gilmoar01
1424,Walt Gilmore,1971,1971,F,6-6,225,"February 27, 1947",Fort Valley State University,gilmowa01
1425,Chuck Gilmur,1947,1951,F-C,6-4,225,"August 13, 1922",University of Washington,gilmuch01
1426,Manu Ginobili,2003,2018,G,6-6,205,"July 28, 1977",,ginobma01
1427,Gordan Giricek,2003,2008,G-F,6-6,210,"June 20, 1977",,giricgo01
1428,Jack Givens,1979,1980,F-G,6-5,205,"September 21, 1956",University of Kentucky,givenja01
1429,Mickell Gladness,2012,2012,C,6-11,220,"July 26, 1986",Alabama A&M University,gladnmi01
1430,George Glamack,1949,1949,C-F,6-6,225,"June 7, 1918",University of North Carolina,glamage01
1431,Gerald Glass,1991,1996,G-F,6-5,221,"November 12, 1967",University of Mississippi,glassge01
1432,Mike Glenn,1978,1987,G,6-2,175,"September 10, 1955",Southern Illinois University,glennmi01
1433,Normie Glick,1950,1950,F,6-7,190,"November 10, 1927",Loyola Marymount University,glickno01
1434,Georgi Glouchkov,1986,1986,F,6-8,235,"January 10, 1960",,gloucge01
1435,Clarence Glover,1972,1972,F,6-8,210,"November 1, 1947",Western Kentucky University,glovecl01
1436,Dion Glover,2000,2005,G,6-5,228,"October 22, 1978",Georgia Institute of Technology,glovedi01
1437,Andreas Glyniadakis,2007,2007,C,7-1,280,"August 21, 1981",,glynian01
1438,Mike Gminski,1981,1994,C,6-11,250,"August 3, 1959",Duke University,gminsmi01
1439,Rudy Gobert,2014,2018,C,7-1,245,"June 26, 1992",,goberru01
1440,Dan Godfread,1991,1992,C,6-10,250,"June 14, 1967",University of Evansville,godfrda01
1441,Tom Gola,1956,1966,G-F,6-6,205,"January 13, 1933",La Salle University,golato01
1442,Ben Goldfaden,1947,1947,F,6-1,185,"September 6, 1913",George Washington University,goldfbe01
1443,Anthony Goldwire,1996,2006,G,6-1,182,"September 6, 1971",University of Houston,goldwan01
1444,Ryan Gomes,2006,2014,F,6-7,250,"September 1, 1982",Providence College,gomesry01
1445,Glen Gondrezick,1978,1983,F-G,6-6,218,"August 30, 1955","University of Nevada, Las Vegas",gondrgl01
1446,Grant Gondrezick,1987,1989,G,6-5,205,"January 19, 1963",Pepperdine University,gondrgr01
1447,Drew Gooden,2003,2016,F,6-10,250,"September 24, 1981",University of Kansas,goodedr01
1448,Gail Goodrich,1966,1979,G,6-1,170,"April 23, 1943","University of California, Los Angeles",goodrga01
1449,Steve Goodrich,2001,2002,F,6-10,220,"March 18, 1976",Princeton University,goodrst01
1450,Archie Goodwin,2014,2017,G,6-5,200,"August 17, 1994",University of Kentucky,goodwar01
1451,Pop Goodwin,1947,1948,F-C,6-2,203,"December 22, 1920",,goodwpo01
1452,Aaron Gordon,2015,2018,F,6-9,220,"September 16, 1995",University of Arizona,gordoaa01
1453,Ben Gordon,2005,2015,G,6-3,200,"April 4, 1983",University of Connecticut,gordobe01
1454,Drew Gordon,2015,2015,F,6-9,245,"July 12, 1990",University of New Mexico,gordodr01
1455,Eric Gordon,2009,2018,G,6-4,215,"December 25, 1988",Indiana University,gordoer01
1456,Lancaster Gordon,1985,1988,G,6-3,185,"June 24, 1962",University of Louisville,gordola01
1457,Paul Gordon,1950,1950,F,6-3,185,"April 8, 1927",University of Notre Dame,gordopa01
1458,Marcin Gortat,2008,2018,C-F,6-11,240,"February 17, 1984",,gortama01
1459,Leo Gottlieb,1947,1948,G,5-11,180,"November 28, 1920",,gottlle01
1460,Andrew Goudelock,2012,2016,G,6-3,200,"December 7, 1988",College of Charleston,goudean01
1461,Gerald Govan,1968,1976,F-C,6-10,220,"January 2, 1942",Saint Mary of the Plains College,govange01
1462,Bato Govedarica,1954,1954,G,5-11,185,"April 17, 1928",DePaul University,govedba01
1463,Joe Graboski,1949,1962,F-C,6-7,195,"January 15, 1930",,grabojo01
1464,Ricky Grace,1994,1994,G,6-1,180,"August 20, 1967",University of Oklahoma,graceri01
1465,Calvin Graham,1968,1968,G,6-2,195,"June 7, 1944",Gannon University,grahaca01
1466,Greg Graham,1994,1998,G,6-4,174,"November 26, 1970",Indiana University,grahagr01
